iter	Logloss
0	0.6893185947
1	0.6851043206
2	0.6809935379
3	0.6771861188
4	0.6731573904
5	0.6694663912
6	0.6657332946
7	0.6621605175
8	0.658432929
9	0.6549349078
10	0.6515274007
11	0.6485476074
12	0.645376199
13	0.6426912368
14	0.6397810585
15	0.6367805396
16	0.6338412468
17	0.6309018898
18	0.6281396226
19	0.6252356286
20	0.6228450038
21	0.6202687951
22	0.6177638532
23	0.6153026936
24	0.6129466394
25	0.610619041
26	0.6084894818
27	0.6065102019
28	0.6044039604
29	0.6023870805
30	0.600422282
31	0.5982288223
32	0.5964566146
33	0.5945399203
34	0.5926706456
35	0.5907979474
36	0.5888613979
37	0.5870579877
38	0.5854460614
39	0.5836962043
40	0.5819108671
41	0.580277482
42	0.5787534601
43	0.5770126036
44	0.5752601449
45	0.5736869536
46	0.5721813221
47	0.5707524917
48	0.5693890375
49	0.5681265979
50	0.5668240654
51	0.5654210011
52	0.5641138172
53	0.5627215965
54	0.561571321
55	0.5603838981
56	0.5590101992
57	0.5578080058
58	0.5565174791
59	0.5554019833
60	0.5543635842
61	0.5531903596
62	0.5521342531
63	0.5510468043
64	0.5499402817
65	0.5487999504
66	0.5477594056
67	0.5467562265
68	0.5457532024
69	0.5448669971
70	0.5440211174
71	0.5432872058
72	0.5423806791
73	0.5414786752
74	0.5407723424
75	0.5399437884
76	0.5390758402
77	0.5381748145
78	0.5373692094
79	0.5364872083
80	0.5356707568
81	0.5347291869
82	0.5339301817
83	0.5331248297
84	0.5324434241
85	0.531659732
86	0.5309623252
87	0.5300957099
88	0.5294375858
89	0.5287548928
90	0.5279283562
91	0.5273034986
92	0.52667886
93	0.5260590382
94	0.5254701954
95	0.5248552019
96	0.5241570881
97	0.5234911683
98	0.522840238
99	0.5222077674
100	0.521638693
101	0.5210511316
102	0.5204736398
103	0.5199353246
104	0.5193391441
105	0.5188118116
106	0.518302988
107	0.5176989856
108	0.5171869192
109	0.5165975781
110	0.515935837
111	0.5153911839
112	0.5148233618
113	0.5143772747
114	0.5139153308
115	0.5134019711
116	0.5129424975
117	0.5125257769
118	0.5121506279
119	0.5116155553
120	0.5112333308
121	0.5108469509
122	0.5104004798
123	0.5099397554
124	0.5094722928
125	0.509061046
126	0.5086933972
127	0.5082677074
128	0.5078889589
129	0.5076174194
130	0.5073099844
131	0.506965664
132	0.5066433507
133	0.5062627159
134	0.5058928681
135	0.5055903713
136	0.5051796882
137	0.5048299054
138	0.5044124886
139	0.5040475131
140	0.5036723935
141	0.5033510295
142	0.5029133607
143	0.502639846
144	0.5023513719
145	0.5019950001
146	0.5016541092
147	0.5013818214
148	0.5010885696
149	0.5008327169
150	0.500480182
151	0.5002379959
152	0.4999638796
153	0.499686215
154	0.499417109
155	0.4991884684
156	0.4989538538
157	0.4987289155
158	0.4985503272
159	0.4982641848
160	0.4980599035
161	0.497706694
162	0.4974449844
163	0.4972007933
164	0.4969702775
165	0.4967582481
166	0.4965188823
167	0.4962175878
168	0.4959221883
169	0.4956915247
170	0.4954405177
171	0.4951821878
172	0.4949138476
173	0.4947031854
174	0.4944836878
175	0.4942714319
176	0.4940463975
177	0.4938383223
178	0.4936053339
179	0.4933815815
180	0.493092517
181	0.4928650123
182	0.4926962291
183	0.492484647
184	0.4922794845
185	0.4921000631
186	0.4918883071
187	0.491709701
188	0.4915026236
189	0.491312653
190	0.4911058898
191	0.49096467
192	0.4908033814
193	0.4906331775
194	0.4904726994
195	0.4903120156
196	0.4901037566
197	0.4899137627
198	0.48974575
199	0.4895807306
200	0.489417224
201	0.489281746
202	0.4891042911
203	0.4889571259
204	0.4887279628
205	0.4885561037
206	0.4883864171
207	0.4882816657
208	0.4881312382
209	0.4879807897
210	0.4878417284
211	0.4877208357
212	0.4875367057
213	0.4873384281
214	0.4872238603
215	0.4870851625
216	0.4869052246
217	0.4867738017
218	0.4865715277
219	0.4864149278
220	0.4862670722
221	0.4861058688
222	0.4859800472
223	0.4858259582
224	0.4856763277
225	0.4855027473
226	0.4853805493
227	0.4852822553
228	0.4851573932
229	0.4849999987
230	0.4848695196
231	0.484755214
232	0.4846017903
233	0.4845040678
234	0.4843777912
235	0.4842167904
236	0.484084915
237	0.4839404764
238	0.483767639
239	0.4836048843
240	0.4834724362
241	0.483383001
242	0.4832626297
243	0.4830923083
244	0.4829681894
245	0.4828343964
246	0.4826901649
247	0.4825662372
248	0.4824275748
249	0.4823150508
250	0.4821356947
251	0.4819275172
252	0.4818204421
253	0.4816887741
254	0.4816024307
255	0.4814733479
256	0.4813402218
257	0.4812337979
258	0.4810804165
259	0.4810319055
260	0.4809150758
261	0.4808040613
262	0.4807008375
263	0.480578766
264	0.4804794209
265	0.4803893701
266	0.4802980429
267	0.4801978019
268	0.4800895044
269	0.4799859067
270	0.4798279544
271	0.479701344
272	0.4796063821
273	0.4795099659
274	0.4794317995
275	0.4793322098
276	0.4792509093
277	0.4791570913
278	0.4790271483
279	0.4789450883
280	0.4788250894
281	0.4787442482
282	0.4786764509
283	0.4785824613
284	0.4785051717
285	0.4784107558
286	0.4783192754
287	0.4781897647
288	0.4780915039
289	0.4779936932
290	0.4778934301
291	0.477797691
292	0.4777262923
293	0.4776324898
294	0.4775394171
295	0.4774316546
296	0.477356451
297	0.4772629211
298	0.4771676863
299	0.4770778604
