iter	Logloss
143	0.5024105034
144	0.5020554344
145	0.5016803142
146	0.5013472934
147	0.5009379562
148	0.5006639625
149	0.5003345453
150	0.499929623
151	0.4997275685
152	0.4994753333
153	0.4992429658
154	0.4989182992
155	0.4986375824
156	0.498388101
157	0.4980350514
158	0.4977631563
159	0.4974923603
160	0.4972468137
161	0.4969749851
162	0.4967023728
163	0.4964306624
164	0.4962273815
165	0.4960011762
166	0.4957837623
167	0.4955437157
168	0.4953384095
169	0.4950927302
170	0.4948920703
171	0.4946246152
172	0.4944004404
173	0.4941439984
174	0.4939125774
175	0.4936794271
176	0.4934693623
177	0.4931883169
178	0.4929442765
179	0.4926493543
180	0.4924754502
181	0.4921757259
182	0.4920237212
183	0.4918411508
184	0.4916848351
185	0.4915278377
186	0.4913037603
187	0.4911210385
188	0.4909614395
189	0.4907854242
190	0.4906204687
191	0.4904528194
192	0.4902179259
193	0.4900496712
194	0.4899138332
195	0.4897363969
196	0.4895740549
197	0.489380531
198	0.4891963222
199	0.4890113369
200	0.4887477135
201	0.488569479
202	0.4883930301
203	0.488258169
204	0.4881105809
205	0.4879295173
206	0.4876937176
207	0.4874821768
208	0.4873216142
209	0.4871562525
210	0.4869504041
211	0.4867204292
212	0.4865325456
213	0.486358655
214	0.4862272327
215	0.4860680503
216	0.4859208064
217	0.4858043298
218	0.4856865782
219	0.4854982141
220	0.4853499489
221	0.4851975213
222	0.4850685809
223	0.4849595148
224	0.4848598335
225	0.4847120199
226	0.4846166255
227	0.4844932751
228	0.4844500557
229	0.4843174209
230	0.4841501955
231	0.4839825789
232	0.4838227723
233	0.4837046381
234	0.4835849565
235	0.483397334
236	0.4832966976
237	0.4831842244
238	0.4830419152
239	0.4828768661
240	0.4827760003
241	0.4826121123
242	0.4824799196
243	0.4823437872
244	0.4822192129
245	0.4821099979
246	0.4819867017
247	0.4818502362
248	0.4817290803
249	0.4816115334
250	0.4814803061
251	0.4813635689
252	0.4812363271
253	0.4811210156
254	0.4809927442
255	0.4808109994
256	0.4807102592
257	0.4806035024
258	0.4804950985
259	0.4803255286
260	0.4802367735
261	0.480164723
262	0.4800627847
263	0.4799838471
264	0.4798669668
265	0.479774579
266	0.4796713813
267	0.4795592336
268	0.4794636179
269	0.4793542414
270	0.4792406861
271	0.4791546762
272	0.4790491651
273	0.4789372518
274	0.4788283892
275	0.4787208498
276	0.4786727349
277	0.4785843113
278	0.4785182014
279	0.4783889744
280	0.4782990818
281	0.4781937729
282	0.4780395841
283	0.4779505844
284	0.4778529597
285	0.4777589421
286	0.477684588
287	0.4776183931
288	0.4775651372
289	0.4774692953
290	0.4773524164
291	0.4772611572
292	0.477194083
293	0.4770994923
294	0.4770615403
295	0.4769634463
296	0.4768825002
297	0.4767846265
298	0.4766572678
299	0.476539021
300	0.4764758021
301	0.4763953246
302	0.4762810588
303	0.4761925373
304	0.4760598907
305	0.4759859272
306	0.4759304212
307	0.4758444071
308	0.4757357782
309	0.4756014027
310	0.4755204217
311	0.475446781
312	0.4753264708
313	0.4752331511
314	0.4751537107
315	0.4751377941
316	0.4750398155
317	0.4748998252
318	0.4747971656
319	0.4746936321
320	0.4745910961
321	0.4745721411
322	0.4745071459
323	0.4744268164
324	0.4743506342
325	0.4742782002
326	0.4741987412
327	0.4741029349
328	0.4740174872
329	0.4739603912
330	0.4738957696
331	0.4738120541
332	0.4737255946
333	0.4736041111
334	0.4735206311
335	0.4734430488
336	0.4734092297
337	0.4733565935
338	0.4732908876
339	0.473205296
340	0.4731187244
341	0.4730743399
342	0.472958241
343	0.472896295
344	0.4728215627
345	0.472757995
346	0.472715936
347	0.472646493
348	0.4725847096
349	0.4725154119
350	0.4724614258
351	0.4723988673
352	0.4723373279
353	0.4722559277
354	0.4722049481
355	0.4721299902
356	0.4720121889
357	0.4719414305
358	0.471849572
359	0.4717988072
360	0.4717663459
361	0.4717420406
362	0.4716922133
363	0.4716117357
364	0.4715533417
365	0.4714690075
366	0.4713950818
367	0.4713444307
368	0.4712802848
369	0.4711810868
370	0.4711258051
371	0.4710518773
372	0.4709825626
373	0.4709319671
374	0.4708667236
375	0.4707943026
376	0.470752297
377	0.4706610275
378	0.4705911104
379	0.4705420128
380	0.4704642216
381	0.4704122287
382	0.4703465129
383	0.4702761445
384	0.4701394252
385	0.4700853093
386	0.4700225364
387	0.4699321274
388	0.4698773403
389	0.4698006048
390	0.469772687
391	0.4697407012
392	0.4697079361
393	0.4696561128
394	0.4695936254
395	0.469555753
396	0.469474389
397	0.4694023315
398	0.4692546563
399	0.4691732952
400	0.4691448941
401	0.4690991883
402	0.4690882608
403	0.4690538317
404	0.4690034999
405	0.4689364102
406	0.4688589907
407	0.4687860755
408	0.4687335951
409	0.4687007105
410	0.4686338954
411	0.4685798271
412	0.4685057922
413	0.4684541995
414	0.468411596
415	0.4683407437
416	0.4682977084
417	0.4682661322
418	0.4682052018
419	0.4681641258
420	0.4681011397
421	0.468058565
422	0.4679755471
423	0.4679161483
424	0.4678740145
425	0.4678122004
426	0.4677726905
427	0.4677183451
428	0.4676783215
429	0.4676277127
430	0.4675709255
431	0.4675199745
432	0.4674882675
433	0.4673933699
434	0.4673220511
435	0.467285353
436	0.4672426808
437	0.4671764228
438	0.4671054512
439	0.4670572024
440	0.467018447
441	0.4669654567
442	0.4669334151
443	0.4668812198
444	0.4668368965
445	0.4667620094
446	0.4667019373
447	0.4666817576
448	0.4666336436
449	0.4665914055
450	0.4665428066
451	0.4664961407
452	0.466428369
453	0.4663882551
454	0.4663451341
455	0.4663032569
456	0.4662457857
457	0.4661839967
458	0.4661458103
459	0.4660916627
460	0.4660315427
461	0.4659502098
462	0.4659089215
463	0.46587013
464	0.4658079649
465	0.465779259
466	0.4657279309
467	0.4656985592
468	0.4656522771
469	0.465595072
470	0.4655551956
471	0.4654889411
472	0.4654479664
473	0.4653964466
474	0.4653555141
475	0.4653109472
476	0.4652430107
477	0.465186138
478	0.4651461552
479	0.4650683381
480	0.4650266741
481	0.4649751232
482	0.4649393477
483	0.4648954484
484	0.4648559797
485	0.464761481
486	0.4647200537
487	0.4646748292
488	0.4646313208
489	0.4645776862
490	0.4645237626
491	0.4644935376
492	0.4644343116
493	0.464354224
494	0.4643174443
495	0.4642592961
496	0.464224629
497	0.4641731748
498	0.464150207
499	0.4640956281
